,comments,sentiments,clean_comments
0,Maobadi is the worst thing that has ever happened to us Nepal and Nepalese.,0,maobadi bad thing ever happen u nepal nepalese
1,And who were funding maoist at those times???,1,funding maoist time
2,Please part 2,1,please part 2
3,Holeri Rolpa ma xa bro but nice  keep it up,0,holeri rolpa xa bro nice keep
4,ani maowadi le raja ko lagi rakheko 51 52 budey maag kati ko jayaj wa na jayaj thyo tyo kura chai na vanne ho?,0,ani maowadi le raja ko lagi rakheko 51 52 budey maag kati ko jayaj wa na jayaj thyo tyo kura chai na vanne ho
5,🇳🇵 Kathmandu Nepal and thank the Lord and Bhutan the oils and Bhutan and jug of water in the only thing that are here and Bhutan you have any questions you can you too baby girl I love you too baby girl I hope it you can you too baby yyyyy you too and,0,kathmandu nepal thank lord bhutan oil bhutan jug water thing bhutan question baby girl love baby girl hope baby yyyyy
6,"India ra Us ko financial backing ko bharma janaandolan charkaeka chor haru....afnai 20000 manche marey.....
Aile jasari citizenship bill pass garna ani ui purano delhi ma dhogna janey kram ajai ustai cha....
Chor haru le jasko birodh garthey.....aja aafu nai testai gariraheka chan.....Ani janata ta murkha hun iniharu lai kei tha chaina bhandai ignore hanchan....",0,india ra u ko financial back ko bharma janaandolan charkaeka chor haruafnai 20000 manche marey aile jasari citizenship bill pas garna ani ui purano delhi dhogna janey kram ajai ustai cha chor haru le jasko birodh gartheyaja aafu nai testai gariraheka chanani janata ta murkha hun iniharu lai kei tha chaina bhandai ignore hanchan
7,underrated,1,underrated
8,true,1,true
9,You are biased towards maoists bhai you need to stop. Maoists were terrorists that is why they were declared as such.,1,bias towards maoist bhai need stop maoist terrorist declare
10,"Paras le bhaneko Dipendra le nai sabailaai maareko rey. Tara Gyanendra ko supporter harule chai haina bhanchhan. Tara Birendra ko chai sabai family maariyo, Dhirendra pani maariyo tara Gyanendra ko family laai chai kei pani bhayena. Dipendra le aafnai baini ra bhai laai samet maaryo rey tara Paras chai bachyo....",0,para le bhaneko dipendra le nai sabailaai maareko rey tara gyanendra ko supporter harule chai haina bhanchhan tara birendra ko chai sabai family maariyo dhirendra pani maariyo tara gyanendra ko family laai chai kei pani bhayena dipendra le aafnai baini ra bhai laai samet maaryo rey tara para chai bachyo
11,"You don't disclose the fact that PM Deuba had to declare Emergency only after the maoists attacked the Army posts at Dang, Syangja and Solu-Salleri without any warning and killed the soldiers in those posts. 
Army didn't open fire at Holleri because the Army wasn't given the mandate to fight the maoists. The Army was deployed in those districts for providing security to the ISDP projects.
Stick to facts.",0,dont disclose fact pm deuba declare emergency maoist attack army post dang syangja solusalleri without warn kill soldier post army didnt open fire holleri army wasnt give mandate fight maoist army deploy district provide security isdp project stick fact
12,Aba nepal ma 2 ota option xa  ..yemale wa Congress aru party sarkar ma auxa vanni aas pani nagarda hunxa ...nepali haru yo pali pani Congress sarkar ma ayo vani nepal kaile pani bikas hudaina ra India ko gulami banxa 200% ...jasari hunxa yemale lai jitaunu parxa history herni ho vani desh ko bikas chahani yemale nai ho,0,aba nepal 2 ota option xa yemale wa congress aru party sarkar auxa vanni aa pani nagarda hunxa nepali haru yo pali pani congress sarkar ayo vani nepal kaile pani bikas hudaina ra india ko gulami banxa 200 jasari hunxa yemale lai jitaunu parxa history herni ho vani desh ko bikas chahani yemale nai ho
13,Keep it up brother you are dooing very well,1,keep brother dooing well
14,"this is like movie man 
hats up to you",1,like movie man hat
15,"For me, he is the last King of Nepal. I never accepted Gyanendra as a king and will never accept him in future too",1,last king nepal never accept gyanendra king never accept future
16,Amazing video ,1,amaze video
17,Good luck,1,good luck
18,Thanks sir for great vdo and information,1,thanks sir great vdo information
20,Nice contentt,1,nice contentt
21,hamro raja gyanendra lai pheri king banaunu parxa yo past ko kura hun aile future ma desh jokhim ma parisakyo,0,hamro raja gyanendra lai pheri king banaunu parxa yo past ko kura hun aile future desh jokhim parisakyo
22,Sir mawobadi ko rank haru ko Pani video banaunu paryo..,0,sir mawobadi ko rank haru ko pani video banaunu paryo
23,Yei sere chor aile maobadisanga milera deshlai yesto abasthama puryaudai x...politiciansle sadhai aafnai faida matrai herne raixan...hami dukhi garib jantako lagi ladai gareko ho bhanera kati bhram ma paryau tetro,0,yei sere chor aile maobadisanga milera deshlai yesto abasthama puryaudai xpoliticiansle sadhai aafnai faida matrai herne raixanhami dukhi garib jantako lagi ladai gareko ho bhanera kati bhram paryau tetro
24,Who is the head of Maoist at that time?,0,head maoist time
25,"Dai hjur ko video ekdum dherai mannpryo ,ajhai video banaudai improve grdai jada ek din kaso yo video sub jana ko recommendation video ma na pugla?",0,dai hjur ko video ekdum dherai mannpryo ajhai video banaudai improve grdai jada ek din kaso yo video sub jana ko recommendation video na pugla
26,Please provide subtitle/ caption  for episode 4 and 5.. not able to understand it fully.. you explain everything very well.. it will really help if you'll put the caption for people who do not understand Nepali.,1,please provide subtitle caption episode 4 5 not able understand fully explain everything well really help youll put caption people not understand nepali
27,Where are the captions,1,caption
28,adhyadesh vaneko k ho?,0,adhyadesh vaneko k ho
29,Really appreciate your work! Keep it up,1,really appreciate work keep
30,yo army police haru le ni dherai manche lai soshan garako tiooo tyo belaa tahi vayra ni dherai le janamukti sena ko sath deya,0,yo army police haru le ni dherai manche lai soshan garako tiooo tyo belaa tahi vayra ni dherai le janamukti sena ko sath deya
31,"Wonderful content. Waiting for more!
 Could you please suggest some books to understand Nepalese politics, history and economy? Thanks! ",1,wonderful content wait could please suggest book understand nepalese politics history economy thanks
32,raja birendra le pahila nai sena parichalana garera yo maobadi ko jhund lai sakhap parna parne..yesta manche lai compasssion  le haina goli le thokera sidhauna parcha..durbhagya last ma unle nai jyan gumauna paryo,0,raja birendra le pahila nai sena parichalana garera yo maobadi ko jhund lai sakhap parna parneyesta manche lai compasssion le haina goli le thokera sidhauna parchadurbhagya last unle nai jyan gumauna paryo
33,The way you explain is so astounding. Thank you sir,1,way explain astound thank sir
34,maobadi ko bidroha le desh lai dherai pachadi paryo....aajha yesto unsafe desh nepal pakkai hunthena,0,maobadi ko bidroha le desh lai dherai pachadi paryoaajha yesto unsafe desh nepal pakkai hunthena
35,Keep making great content . All the best bro,1,keep make great content best bro
