,comments,sentiments
0,"What I'm going to say is that I never imagined myself as a member of the nation's finest team. We were already late when we began researching our four Martyrs. Because I was sick in the midst, I had to take a little more time to research. However, it put a lot of strain on the other members. They didn't sleep at night and didn't even talk with anyone.  We used to publish four videos per month, but this week we published three. The last segment that we posted today was practically sure to be unavailable today. We had almost given up hope. However, a miracle occurred. Normally, the render takes 90-120 minutes, however today it took only 45 minutes. I'd want to salute my team for their effort. I'm hoping for public support because the team has worked hard on this.",1
1,Please continue this series. What happened after that? How did rana collapse. We love this series. Please continue this.,1
2,"Would love to see more of our history's video, brother! I hugely respect you and your team's  effort for making such an interesting and informed videos on our great martyrs ",1
3,They will never be forgotten. Salute to our martyrs.,1
4,"The level of editing , animation , voice, research everything is perfect outstanding. Thanks to whole team and Huge respect to our martrys.......LIVE LONG NEPAL",1
5,Never felt goosebumps while watching YouTube videos before now,1
6,"Heartfelt apologies to all the Martyrs. 
And kudos to the team for great research.",1
7,"It's Sad and also shameful at the same time, Our Ancestors fought for the nation without caring about their lives but we here are busy talking shits, seeking excuses, seeking personal benefits. We all Nepalese owe them a beautiful nation which they had dreamed of 
Jay Nepal 🇳🇵",1
8,Such a brave story of Martyrs....forever heroes of Nepal,1
9,"It was a great series thank you for  showing our history and educating us and The Nepali comment presented so well in order hope to see same content in common days good team work.
It is the cause,not the death,that makes the Martyrs. We will be forever grateful for what you have done for this country 
Salute to our Martyrs who sacrifice themselves for this land and country.
Jay Nepal 🇳🇵",1
10,Never been so much diluted in Nepali videos until this series. Hats off to your research and presentation team! ,1
11,Greatest Series of all time. Really enjoyed this. Your and your team's hard work has paid off !,1
12,Hats off to you and your team for making this wonderful series on Martyrs. They deserved to be appreciated and people should know their contribution. More hate to the cruelty of Rana.,1
13,"I had goosebumps all time watching this last part !!!
Keep up the Great work Nepali Comment Team !
We are expecting Great things ahead !
At last 
Bir Shahid Amar Rahos !",1
14,"Great series, i would love to watch more content about some of the most significant moments in Nepal's history similar to this. Keep it up!",1
15,Your explanation about our history is very appreciatable and anyone can easily understand.🇳🇵️,1
16,Really...hats off to all the team who collected all the data and records which are century old and presenting us a history in such a tasty manner.....love the channel and the contents it has made so far....,1
17,4 played the biggest role in history of Nepal. Hats off to this well defined series,1
18,"This is why cable TV is dying, when you have creators like 'The Nepali Comment' who create professional amazing documentaries like this. Keep up the fantastic work.",1
19,"This channel is Providing more knowledge and information about our ancestors of Nepal then ever, that a social study book can't provide.",1
20,"Thank you for the important information ️Now its our duty to spread the bravery of our Martyr's Story to our next generation ️
We will never forget the dedication and the contribution of our Martyr's ️",1
21,"Another great video series from The Nepali Comment. 
Research was already top. Quite refreshing to see huge leaps in the animations as well. ",1
22,"Such fine work, team. The suspense, the research, animations, colour tone of the video very commendable.",1
23,We all should appreciate his work he is working hard,1
24,"Thank you to the entire team for their effort in bringing this 3 part series to life. You all helped deliver an important part of our history which was untold before, or unknown to wider Populus. 

In the future, I think the viewers will love such content from your team. Keep going, you guys will reach new heights....",1
25,Handsoff to our country heroes ,1
26,"Hands down to your research, video editing and so on guys ",1
27,"We shouldn’t forget what our martyrs did for us 
To save whole nation from cruel rules  love your efforts we want more videos related to history",1
28,huge respect for our heroes ️,1
29,You have an indepth research to bring this forward to us. Kudos to you. You really are the face of quality content.,1
30,thanks a lot brother and your team for bringing up this wonderful content. keep consistently creating about our history .. bir sahid amar rahun... these guys are the reason behind our freedom right now... kudos to all freedom fighters who kept stake of their life for democracy,1
31,"You never fail to amaze us with your amazing contents. Keep going. Keep rocking. Very happy to be one of your subscribers And, a big clap to your entire team.",1
32,My grandfather’s elder brother (Hari bahadur khadgi) was also killed during this revolution.dont know the fact but it is said he also got death sentence along with the four martyrs but he was killed inside the prison before his punishment..,1
33,Hats off to you bro. Thank you for the well-described information about the great martyrs.,1
34,"Got goosebumps just thinking about their bravery. Tei ragat ko aile ko hami Nepali haru k vako ho, desh mathi ko anyaya herera basya xam. ",1
35,Huge respect to all martyrs of nepal,1
36,Great Salute to Our Martyrs ️️,1
37,"By telling the history you create the history 
thanks for your hard work for us",1
38,This should be made as documentary film ...  Thank you so much for this video sir,1
39,"Aaba film industry's le ta kei garna sakena tara nepali comment huge respect️to the team i have really feel like warching Profesnal webseries
Please continue this series like season 2 cause wea re very curious to know that what happen next️️",1
40,Proud to be a citizen of this country ️,1
41,Great work bro... Felt so bad for our martyrs,1
42,Hatsoff to those heroes!!🇳🇵,1
43,"Wonderful video brother and your team
I really don't study this topic in my school. Thank you very much for this valuable information about our great martyrs.",1
44,Keep creating content like this.appreciation for your whole team,1
45,Salute and Long Life to the young Braveheart’s and Shahids of this land. This country may be not what the shahids imagined it to be. But they liberated this country and we thank them for their sacrifice.,1
46,Greatest infotainment series in Nepalese broadcast history. Best wishes and appreciations from Germany!,1
47,rest in peace to legend Martyrs,1
48,"when I was kid ,I used to be quite bored studying history lecture but from the way you explain it felt quite interesting now .",1
49,I just felt proud that I want born in the country of martyrs,1
50,This is great I feel very inspired by our martyrs,1
51,I've been looking for a you tuber that researches and fact checks on the topic on Nepali topics!! Keep up the good work bruh ,1
52,its really sad that we know more about indian martyrs from movies and plays than nepali martyrs... #hatsoff for ur video,1
53,Nowadays we lack this kind of people in Nepal. Salute to all the martyrs,1
54,"Thank u so much for this video.we didnt have read this history in school Because these content are not in book why i dont know You deserve  millions of subscribe.In next video plz explain about the first public protest of 2007 establishment of democracy,Establish of congress and communist,The rise of B .p koirala",1
55,"please continue, i learned a lot about our history though this. Thank you for making such an amazing video.",1
56,"Beautifully presented
Hope to see quality content as this all the time",1
57,History Books what? Our Brother Dipesh Tripathi is the best teacher we could ever have. ️️Thank you for such a great content in this filthy business of content creation.,1
58,Rip all those legends️,1
59,And again thank you for making this video. We really appreciate your research and work. Just make sure it's all history based on facts.coz people have started trusting you.,1
60,Masterpiece ️ just loved your hard work,1
61,Thank you so much for the in-depth insight TNC. Hats off to your effort.,1
62,Please continue this series ️,1
63,Most appreciated your work. Keep it up.,1
64,Thank you for this series ️,1
65,i  want  to  read  the  pamphlet please provide  it in a  link. such  a great  video ️,1
66,A whole new series on rana rise and fall is what I wanna see next in this channel,1
67,Salute to every Martyrs ,1
68,Thank you very much for a lot of additional information we are never taught in school.,1
69,hats off for entire team for this tremendous information...,1
70,really appreciate your effort,1
71,Asu nai ayo yar...Big salute to the Martyrs. Thank you for the video!,1
72,Wow .. thank you for this knowledge bro afnu desh ko history yesari prasta rup le herna ra sunna paunda sarai khusi lagyo. You are doing an amazing job with this channel. ,1
73,I am literally serious this whole content u made is so good then the books i have read from 1 t0 10in my schooll i just learned every part of it without any effort,1
74,"Just thinking ""What would happen if rana were still ruling"" aside hats off to you work sir",1
75,"Thank you souch dai, we need more similar like this incident ️",1
76,"goosebumbs tears pride honour
salute",1
77,Brave Martyrs!!,1
78,Hats off. You definitely deserve more subscriber. I declare that you will be one the of biggest Youtubers in the history of Nepal,1
79,Goosebumps ,1
80,"HISTORY of Nepali Congress and UML... Its is also a demanding topic..
If you can please make a video on it.
This series is appreciated ️",1
81,Had read about this in course books but can't feel and  understand their contribution that  time... But  these videos is very understandable .... thank you so much ...,1
82,"Hats off to ""the nepali comment"" team . God bless you guys ",1
83,please continue this series . what happened after  that. how did rana collapse . we love this series please continue this.,1
84,Our brave heros ️,1
85,Toms of respect to your effort bro. Atti dami,1
86,Thank you so much for letting us know about it️,1
87,सलाम छ ती वीर सहिद हरु प्रति जसले देशको लागि ज्यान गुमाएका थिए ️,1
88,Absolutely Magnificent Loved it️,1
89,Amazing. We need many more videos related to our history.,1
90,I am hooked. I really don't know where this episode fits into the grand scheme of things but it is amazing.,1
91,I want someone to make a proper live-action movie made on this topic.,1
92,Thankyou Sahid bir haru thankyou for every thing that you have done for us.,1
93,"Hats off
We need more story about our country history",1
94,Tough times create strong men.,1
95,Still not sleeping for this video ️,1
96,Dherai Dherai dhanyabaad hamro itihas lai ujaagar gareko ma.. Hats off to efforts both in story telling and videography,1
